,Funding Orgs
254,"Deanship of Research, King Fahd University of Petroleum and Minerals, Saudi Arabia [IN171012]"
255,"Deanship of Research, King Fand University of Petroleum & Minerals (KFUPM) [IN171013]"
256,"Deanship of Research, King Fand University of Petroleum & Minerals (KFUPM) [IN171014]"
257,"Deanship of Research, King Fand University of Petroleum Minerals [IN141031]"
258,Deanship of Scienti~c Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [DF191006]
259,Deanship of Scienti~c Research (DSR) at the King Fahd University of Petroleum Minerals [IN171020]
260,"Deanship of Scienti~c Research (DSR), King Fahd University of Petroleum and Minerals [DF191024]"
261,"Deanship of Scienti1c Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [IN 131052]; Department of Civil and Environmental Engineering"
262,Deanship of Scientic Research in King Fahd University of Petroleum and Minerals [DF181024]
263,"Deanship of Scientic Research, King Fahd University of Petroleum and Minerals (KFUPM) [SB181023]"
264,Deanship of Scientific research (CDSR) at KFUPM [RG-1316-1]
265,"Deanship of Scientific Research (DSR) at KFUPM [DISC1504]; DSR at Majmaah University, KSA"
266,deanship of scientific research (DSR) at KFUPM [IN 161065]
267,Deanship of Scientific Research (DSR) at KFUPM [IN141048]
268,Deanship of Scientific Research (DSR) at KFUPM [IN161012]; Center of Excellence in Nanotechnology (CENT) at KFUPM
269,Deanship of Scientific Research (DSR) at KFUPM [IN161065]
270,Deanship of Scientific Research (DSR) at KFUPM [KAUST 002]
271,Deanship of Scientific Research (DSR) at KFUPM [KAUST-002]
272,Deanship of Scientific Research (DSR) at KFUPM through distinguished professorship project [161065]
273,Deanship of Scientific Research (DSR) at KFUPM through the Distinguished Professorship Award [DUP 19106]
274,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM)
275,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF181018]
276,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF181018]; Directorate of Research at Universitas Islam Indonesia (DPPM-UII) [01/Dir/DPPM/70/Pen.Unggulan/PII/XI/2019]
277,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF181021]
278,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF181021]; Center of Excellence in Nanotechnology (CENT), King Fahd University of Petroleum and Minerals (KFUPM)"
279,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF181025]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACARE182-RFP-12]; Saint Petersburg State University [39054581]
280,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DF181035]; K.A.CARE Energy Research & Innovation Center (ERIC)
281,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DISC1505]
282,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [DISC1801]
283,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [FT161011]
284,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [FT161015]
285,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [FT161017]
286,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN 171038]
287,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN-171036]
288,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN131005]; Ministry of Education, Singapore through NUS FRC [R-143-000-A12-114]"
289,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN151003]
290,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN151014]
291,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN151026]
292,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN161015]
293,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN161022]
294,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN161022]; Saudi Aramco
295,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN161060]
296,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN171016]
297,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN171039]
298,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [IN181003]
299,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [JF121004]
300,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG 1409 -1, RG 1409 -2]"
301,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG 1409-1, RG 1409-2]"
302,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG 1409-1]
303,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG1213-1, RG1213-2]"
304,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG1321-1, RG1321-2]"
305,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG1410-1, RG1410-2]"
306,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [RG171004]
307,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR161009]
308,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR161009]; Higher Education Commission, PakistanHigher Education Commission of Pakistan [332]"
309,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR161013]
310,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR171005]
311,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR171009]
312,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR171018]
313,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR191005]
314,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR191013]
315,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) Saudi Arabia [IN161055]; Department of Civil and Environmental Engineering
316,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM)-Dhahran, Saudi Arabia [IN 161049]"
317,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [IN131024]; Chemistry Department, Aristotle University of Thessaloniki, Greece"
318,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Dhahran, Saudi Arabia [IN161055]; Department of Civil and Environmental Engineering"
319,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [DF181018]"
320,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [DF181032]; Department of Civil and Environmental Engineering"
321,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [DISC1502]"
322,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [IN131052]; Department of Civil and Environmental Engineering"
323,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [JF141003]; Department of Civil and Environmental Engineering"
324,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia [SR181006]"
325,"Deanship of scientific Research (DSR) at King Fahd University of Petroleum & Minerals, Dhahran [IN151029]"
326,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum & Minerals, Dhahran, Saudi Arabia [IN161015]"
327,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum AMP; Minerals (KFUPM) [RG1213-1 RG1213-2]
328,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [DF181022]
329,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [DF191007]
330,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN131030]
331,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN131065]
332,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN141018]; Saudi Aramco
333,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN151014]
334,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN151019]
335,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN151020]
336,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN151021]
337,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN151032]
338,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN151032]; King Abdullah University of Science and TechnologyKing Abdullah University of Science & Technology
339,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN161030]
340,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN161050]; Deanship of Scientific Research
341,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN171034]
342,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [IN171038]
343,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [JF141011]
344,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [KAUST002]; King Abdullah University of Science and Technology (KAUST) Office of Sponsored Research (OSR); OSR [2016-KKI-2899]
345,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [NUS15107/8]
346,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [RG 1410-1, RG 1410-2]"
347,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [RG 1410-1]
348,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [SB151004]
349,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [SB191043]
350,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [SR151014]
351,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [SR161009]
352,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [SR161018]
353,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [SR171009]; Global Asia in the 21st Century (GA21) Multidisciplinary Platform of Monash University Malaysia
354,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [USRG1501]
355,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [FT161001]"
356,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia [IN131055]"
357,"Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [SR171020]"
358,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals [IN131009]
359,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals [IN171010]
360,Deanship of Scientific Research (DSR) at King Fahd University of Petroleum and Minerals [JF141005]; Center of Research Excellence in Nanotechnology at King Fahd University of Petroleum and Minerals
